timestamp,ap_name,ssid,client_id,client_description,event_category,event_type,event_detail
2026-03-20 21:44:18,060_Felidia-AP1,Zona Wifi Rural Gratis-Alcaldia,23cd7bbef844529b,realme-Note-50,802.11,802.11 association,"""channel: 11, rssi: 24, band: 2"""
2026-03-20 21:44:29,057_La Castilla-AP2,Zona Wifi Rural Gratis-Alcaldia,b8c1a62b87d05ab1,ce:c4:ae:0a:14:d0,802.11,802.11 disassociation,"""client not responding"""
2026-03-20 21:44:33,057_La Castilla-AP1,Zona Wifi Rural Gratis-Alcaldia,b8c1a62b87d05ab1,ce:c4:ae:0a:14:d0,802.11,802.11 disassociation,"""client was deauthenticated"""
2026-03-20 21:44:33,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,0ce2eff181ecab93,ee:ed:d2:d4:49:c0,802.11,802.11 association,"""channel: 11, rssi: 13, band: 2"""
2026-03-20 21:44:35,057_La Castilla-AP1,Zona Wifi Rural Gratis-Alcaldia,b8c1a62b87d05ab1,ce:c4:ae:0a:14:d0,802.11,802.11 disassociation,"""previous authentication expired"""
2026-03-20 21:44:35,060_Felidia-AP1,Zona Wifi Rural Gratis-Alcaldia,23cd7bbef844529b,realme-Note-50,Auth,Splash authentication,"""duration: 3600"""
2026-03-20 21:44:51,062_Pichinde-AP2,Zona Wifi Rural Gratis-Alcaldia,81c67b7d49f3e383,Android-2,802.11,802.11 association,"""channel: 1, rssi: 37, band: 2"""
2026-03-20 21:44:51,062_Pichinde-AP2,Zona Wifi Rural Gratis-Alcaldia,81c67b7d49f3e383,Android-2,802.1X,802.1X authentication,"""radio: 0, vap: 0, client_mac: BC:61:93:28:6E:E9, aid: 958930188"""
2026-03-20 21:45:18,060_Felidia-AP2,Zona Wifi Rural Gratis-Alcaldia,23cd7bbef844529b,realme-Note-50,802.1X,802.1X authentication,"""radio: 1, vap: 0, client_mac: 9E:25:0E:EB:9A:7D, aid: 102715795"""
2026-03-20 21:45:18,060_Felidia-AP2,Zona Wifi Rural Gratis-Alcaldia,23cd7bbef844529b,realme-Note-50,802.11,802.11 association,"""channel: 149, rssi: 21, band: 5"""
2026-03-20 21:45:26,060_Felidia-AP1,Zona Wifi Rural Gratis-Alcaldia,23cd7bbef844529b,realme-Note-50,802.11,802.11 disassociation,"""client not responding"""
2026-03-20 21:46:32,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,0ce2eff181ecab93,ee:ed:d2:d4:49:c0,802.11,802.11 disassociation,"""client has left AP"""
2026-03-20 21:46:43,073_Navarro-AP1,Zona Wifi Rural Gratis-Alcaldia,4a1a12f42f0a8e96,Redmi-Note-12S,802.1X,802.1X authentication,"""radio: 0, vap: 0, client_mac: 9A:20:F1:06:6F:F5, aid: 569775341"""
2026-03-20 21:46:43,073_Navarro-AP1,Zona Wifi Rural Gratis-Alcaldia,4a1a12f42f0a8e96,Redmi-Note-12S,802.11,802.11 association,"""channel: 1, rssi: 37, band: 2"""
2026-03-20 21:47:10,062_Pichinde-AP2,Zona Wifi Rural Gratis-Alcaldia,81c67b7d49f3e383,Android-2,802.11,802.11 disassociation,"""client was deauthenticated"""
2026-03-20 21:47:13,073_Navarro-AP1,Zona Wifi Rural Gratis-Alcaldia,4a1a12f42f0a8e96,Redmi-Note-12S,802.11,802.11 disassociation,"""client was deauthenticated"""
2026-03-20 21:47:15,073_Navarro-AP1,Zona Wifi Rural Gratis-Alcaldia,4a1a12f42f0a8e96,Redmi-Note-12S,802.11,802.11 disassociation,"""previous authentication expired"""
2026-03-20 21:47:30,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,9b399d8bdaae3dc8,Redmi-Note-10-Pro,802.11,802.11 disassociation,"""client not responding"""
2026-03-20 21:47:35,060_Felidia-AP1,Zona Wifi Rural Gratis-Alcaldia,aa91c76ee3cd536f,Galaxy-J7-Pro,802.11,802.11 disassociation,"""client has left AP"""
2026-03-20 21:47:48,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,4e98a786fd2c1b44,22:0a:24:32:70:ff,802.11,802.11 disassociation,"""client not responding"""
2026-03-20 21:48:28,059_El Saladito-AP1,Zona Wifi Rural Gratis-Alcaldia,e15133d5ca7dcbfe,A05s-de-Marcelo,802.1X,802.1X authentication,"""radio: 0, vap: 0, client_mac: CE:FC:F1:09:10:DC, aid: 1541492537"""
2026-03-20 21:48:28,059_El Saladito-AP1,Zona Wifi Rural Gratis-Alcaldia,e15133d5ca7dcbfe,A05s-de-Marcelo,802.11,802.11 association,"""channel: 11, rssi: 31, band: 2"""
2026-03-20 21:48:42,059_El Saladito-AP1,Zona Wifi Rural Gratis-Alcaldia,e15133d5ca7dcbfe,A05s-de-Marcelo,802.1X,802.1X authentication,"""radio: 1, vap: 0, client_mac: CE:FC:F1:09:10:DC, aid: 1278085516"""
2026-03-20 21:48:42,059_El Saladito-AP1,Zona Wifi Rural Gratis-Alcaldia,e15133d5ca7dcbfe,A05s-de-Marcelo,802.11,802.11 association,"""channel: 149, rssi: 11, band: 5"""
2026-03-20 21:48:42,059_El Saladito-AP1,Zona Wifi Rural Gratis-Alcaldia,e15133d5ca7dcbfe,A05s-de-Marcelo,802.11,802.11 disassociation,"""client has left AP"""
2026-03-20 21:49:12,059_El Saladito-AP1,Zona Wifi Rural Gratis-Alcaldia,e15133d5ca7dcbfe,A05s-de-Marcelo,802.11,802.11 disassociation,"""client was deauthenticated"""
2026-03-20 21:49:14,059_El Saladito-AP1,Zona Wifi Rural Gratis-Alcaldia,e15133d5ca7dcbfe,A05s-de-Marcelo,802.11,802.11 disassociation,"""previous authentication expired"""
2026-03-20 21:49:45,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,0ce2eff181ecab93,ee:ed:d2:d4:49:c0,802.11,802.11 disassociation,"""client not responding"""
